"filename", "language", "Properties", "Markdown", "JSON", "HTML", "JavaScript", "SCSS", "comment", "blank", "total"
"d:\HCMUT\HK222\CSE_project\Front_end\src\components\deviceTable\Button\index.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 4, 26
"d:\HCMUT\HK222\CSE_project\Front_end\src\components\deviceTable\DeviceTable.module.scss", "SCSS", 0, 0, 0, 0, 0, 128, 1, 21, 150
"d:\HCMUT\HK222\CSE_project\Front_end\src\components\deviceTable\TableRow.js", "JavaScript", 0, 0, 0, 0, 79, 0, 0, 13, 92
"d:\HCMUT\HK222\CSE_project\Front_end\src\components\deviceTable\data.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\HCMUT\HK222\CSE_project\Front_end\src\components\deviceTable\index.js", "JavaScript", 0, 0, 0, 0, 74, 0, 0, 5, 79
"d:\HCMUT\HK222\CSE_project\Front_end\src\config\condition.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 2, 20
"d:\HCMUT\HK222\CSE_project\Front_end\src\config\device.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 2, 14
"d:\HCMUT\HK222\CSE_project\Front_end\src\config\index.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 2, 13
"d:\HCMUT\HK222\CSE_project\Front_end\src\config\mode.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 2, 20
"d:\HCMUT\HK222\CSE_project\Front_end\src\config\routes.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\HCMUT\HK222\CSE_project\Front_end\src\context\socket.js", "JavaScript", 0, 0, 0, 0, 5, 0, 1, 1, 7
"d:\HCMUT\HK222\CSE_project\Front_end\src\index.js", "JavaScript", 0, 0, 0, 0, 10, 0, 5, 5, 20
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Home\ConditionBlockHome.js", "JavaScript", 0, 0, 0, 0, 74, 0, 1, 7, 82
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Home\Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 4, 15
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Home\RhandContent\RhandContent.module.scss", "SCSS", 0, 0, 0, 0, 0, 69, 2, 8, 79
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Home\RhandContent\index.js", "JavaScript", 0, 0, 0, 0, 70, 0, 0, 6, 76
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Home\index.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 4, 25
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Mode\Mode.module.scss", "SCSS", 0, 0, 0, 0, 0, 49, 0, 5, 54
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Mode\index.js", "JavaScript", 0, 0, 0, 0, 114, 0, 0, 11, 125
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Sercurity\index.js", "JavaScript", 0, 0, 0, 0, 153, 0, 0, 5, 158
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Sercurity\sercurity.module.scss", "SCSS", 0, 0, 0, 0, 0, 61, 0, 8, 69
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Setting\index.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 4, 14
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Statistic\index.js", "JavaScript", 0, 0, 0, 0, 82, 0, 3, 6, 91
"d:\HCMUT\HK222\CSE_project\Front_end\src\pages\Statistic\statistic.module.scss", "SCSS", 0, 0, 0, 0, 0, 68, 5, 11, 84
"d:\HCMUT\HK222\CSE_project\Front_end\src\routes\index.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 3, 38
"d:\HCMUT\HK222\CSE_project\Front_end\src\utils\dateTime.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\HCMUT\HK222\CSE_project\Front_end\src\utils\http.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 7, 28
"d:\HCMUT\HK222\CSE_project\Front_end\src\utils\notify.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 3, 25
"Total", "-", 1, 38, 30260, 20, 1980, 1300, 66, 441, 34106
