"filename", "language", "JSON", "JavaScript", "CSS", "Log", "XML", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\HCMUT\HK222\CSE_project\Back_end\build\providers\Socket.js", "JavaScript", 0, -105, 0, 0, 0, 0, 0, -1, -1, -107
"d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\ActivityLogRepository.js", "JavaScript", 0, -25, 0, 0, 0, 0, 0, 0, -1, -26
"d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\DeviceRepository.js", "JavaScript", 0, -70, 0, 0, 0, 0, 0, 0, -1, -71
"d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\ManualModeRepository.js", "JavaScript", 0, -39, 0, 0, 0, 0, 0, -1, -1, -41
"d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\SafeModeRepository.js", "JavaScript", 0, -38, 0, 0, 0, 0, 0, -1, -1, -40
"d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\ServerRecord.js", "JavaScript", 0, -28, 0, 0, 0, 0, 0, 0, -1, -29
"d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\SettingsRepository.js", "JavaScript", 0, -46, 0, 0, 0, 0, 0, -1, -1, -48
"d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\condtionRepository.js", "JavaScript", 0, -19, 0, 0, 0, 0, 0, 0, -1, -20
"d:\HCMUT\HK222\CSE_project\Back_end\build\routes\conditions.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, -2, -1, -13
"d:\HCMUT\HK222\CSE_project\Back_end\build\routes\devices.js", "JavaScript", 0, -12, 0, 0, 0, 0, 0, 0, -1, -13
"d:\HCMUT\HK222\CSE_project\Back_end\build\routes\index.js", "JavaScript", 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"d:\HCMUT\HK222\CSE_project\Back_end\build\routes\manualMode.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, -1, -1, -12
"d:\HCMUT\HK222\CSE_project\Back_end\build\routes\safeMode.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, -1, -1, -12
"d:\HCMUT\HK222\CSE_project\Back_end\build\routes\settings.js", "JavaScript", 0, -11, 0, 0, 0, 0, 0, 0, -1, -12
"d:\HCMUT\HK222\CSE_project\Back_end\build\services\ActivityLoggingService.js", "JavaScript", 0, -21, 0, 0, 0, 0, 0, -1, -1, -23
"d:\HCMUT\HK222\CSE_project\Back_end\build\services\AutoIrrigationOperation.js", "JavaScript", 0, -89, 0, 0, 0, 0, 0, -5, -1, -95
"d:\HCMUT\HK222\CSE_project\Back_end\build\services\ConditionService.js", "JavaScript", 0, -15, 0, 0, 0, 0, 0, 0, -1, -16
"d:\HCMUT\HK222\CSE_project\Back_end\build\services\DevicesService.js", "JavaScript", 0, -47, 0, 0, 0, 0, 0, -3, -1, -51
"d:\HCMUT\HK222\CSE_project\Back_end\build\services\ServerRecordService.js", "JavaScript", 0, -46, 0, 0, 0, 0, 0, -1, -1, -48
"d:\HCMUT\HK222\CSE_project\Back_end\build\utils\date.js", "JavaScript", 0, -21, 0, 0, 0, 0, 0, 0, -1, -22
"d:\HCMUT\HK222\CSE_project\Back_end\build\utils\httpRequestAda.js", "JavaScript", 0, -33, 0, 0, 0, 0, 0, -1, -1, -35
"d:\HCMUT\HK222\CSE_project\Back_end\build\utils\readFileJson.js", "JavaScript", 0, -30, 0, 0, 0, 0, 0, -1, -1, -32
"d:\HCMUT\HK222\CSE_project\Back_end\package-lock.json", "JSON", -9353, 0, 0, 0, 0, 0, 0, 0, -1, -9354
"d:\HCMUT\HK222\CSE_project\Back_end\package.json", "JSON", -44, 0, 0, 0, 0, 0, 0, 0, -1, -45
"d:\HCMUT\HK222\CSE_project\Back_end\src\AdaAPI\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -21, -1, -5, -27
"d:\HCMUT\HK222\CSE_project\Back_end\src\config\CORS.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -6, 0, -3, -9
"d:\HCMUT\HK222\CSE_project\Back_end\src\config\deviceKeys.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -23, 0, -3, -26
"d:\HCMUT\HK222\CSE_project\Back_end\src\config\modeSetting\lighting.json", "JSON", -13, 0, 0, 0, 0, 0, 0, 0, 0, -13
"d:\HCMUT\HK222\CSE_project\Back_end\src\config\modeSetting\soilMoisture.json", "JSON", -13, 0, 0, 0, 0, 0, 0, 0, 0, -13
"d:\HCMUT\HK222\CSE_project\Back_end\src\config\modeSetting\temperature.json", "JSON", -13, 0, 0, 0, 0, 0, 0, 0, 0, -13
"d:\HCMUT\HK222\CSE_project\Back_end\src\config\timeSetting.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -4, -4, -4, -12
